Scenario,Flexibility,Demand,Market,Category,Cost_Type,Carrier,Value_100p_EUR,Value_100p_Billion_EUR,Value_Non_Flex_EUR,Value_Non_Flex_Billion_EUR,Difference_EUR,Difference_Billion_EUR,Difference_Percent
HMMU,H,M,M,marginal - H2 CHP,marginal,H2 CHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,marginal - OCGT gas,marginal,OCGT gas,7923123.586750423,0.007923123586750423,8175660.603836066,0.008175660603836066,-252537.01708564349,-0.0002525370170856435,-3.0888882173894507
HMMU,H,M,M,marginal - PHS,marginal,PHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,marginal - Sabatier,marginal,Sabatier,4689049764.009267,4.689049764009267,4793610119.783541,4.793610119783541,-104560355.77427387,-0.10456035577427387,-2.181244472568732
HMMU,H,M,M,marginal - aluminum,marginal,aluminum,155168923.39838767,0.15516892339838767,0.0,0.0,155168923.39838767,0.15516892339838767,0.0
HMMU,H,M,M,marginal - aluminum transfer,marginal,aluminum transfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,marginal - battery,marginal,battery,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,marginal - biomass,marginal,biomass,7725450571.743128,7.725450571743128,7604845501.01835,7.6048455010183496,120605070.72477818,0.12060507072477818,1.5858977109873988
HMMU,H,M,M,marginal - co2 atmosphere,marginal,co2 atmosphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,marginal - co2 stored,marginal,co2 stored,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,marginal - coal,marginal,coal,4185761208.620389,4.185761208620389,4101068994.748305,4.101068994748305,84692213.87208414,0.08469221387208414,2.0651253119744686
HMMU,H,M,M,marginal - coal boiler,marginal,coal boiler,108025723.3471627,0.10802572334716269,109039690.18025264,0.10903969018025264,-1013966.8330899477,-0.0010139668330899478,-0.9299061941700011
HMMU,H,M,M,marginal - coal cc,marginal,coal cc,3596437277.655281,3.596437277655281,3959203311.138209,3.959203311138209,-362766033.4829278,-0.3627660334829278,-9.16260179067789
HMMU,H,M,M,marginal - coal power plant,marginal,coal power plant,599323792.0380894,0.5993237920380894,591707838.8820138,0.5917078388820138,7615953.156075597,0.007615953156075597,1.2871137841380218
HMMU,H,M,M,marginal - gas,marginal,gas,1712527.7332195186,0.0017125277332195187,1206430.9544035208,0.0012064309544035207,506096.77881599776,0.0005060967788159977,41.94991656743591
HMMU,H,M,M,marginal - gas boiler,marginal,gas boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,marginal - heat pump,marginal,heat pump,2400310630.1005383,2.400310630100538,2404728691.872116,2.404728691872116,-4418061.771577835,-0.0044180617715778355,-0.18372391806654537
HMMU,H,M,M,marginal - hydro_inflow,marginal,hydro_inflow,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,marginal - hydroelectricity,marginal,hydroelectricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,marginal - nuclear,marginal,nuclear,67566162837.41679,67.56616283741678,68878540290.29794,68.87854029029795,-1312377452.881157,-1.312377452881157,-1.9053502692565265
HMMU,H,M,M,marginal - offwind,marginal,offwind,9156953.26741201,0.00915695326741201,9143102.701457651,0.00914310270145765,13850.565954359248,1.3850565954359249e-05,0.15148649650573326
HMMU,H,M,M,marginal - onwind,marginal,onwind,85353793.27703299,0.08535379327703299,84321537.35371138,0.08432153735371138,1032255.9233216047,0.0010322559233216047,1.2241901128907375
HMMU,H,M,M,marginal - resistive heater,marginal,resistive heater,380787591.3117466,0.3807875913117466,376496986.383345,0.376496986383345,4290604.928401589,0.004290604928401589,1.1396120244194845
HMMU,H,M,M,marginal - solar,marginal,solar,46049862.346637696,0.046049862346637695,45993282.1962907,0.0459932821962907,56580.1503469944,5.65801503469944e-05,0.12301829233565226
HMMU,H,M,M,marginal - solar thermal,marginal,solar thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,marginal - stations,marginal,stations,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,marginal - water tanks,marginal,water tanks,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,nan - nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,shutdown - aluminum,shutdown,aluminum,1319678502.2207255,1.3196785022207256,0.0,0.0,1319678502.2207255,1.3196785022207256,0.0
