Province,Year,Scenario,Demand_tons_per_second
Hebei,2025,mid,0.0014598680887252158
Heilongjiang,2025,mid,0.004255022835305252
Henan,2025,mid,0.08393011170239789
Hubei,2025,mid,0.02051359844770792
Hunan,2025,mid,0.03480872149599594
InnerMongolia,2025,mid,0.14255292505376552
Jiangsu,2025,mid,0.016509490123054395
Jiangxi,2025,mid,0.04532433033451764
Jilin,2025,mid,0.00233719178315911
Liaoning,2025,mid,0.01589360732182968
Ningxia,2025,mid,0.02561260657051367
Qinghai,2025,mid,0.05248505205654391
Shaanxi,2025,mid,0.03497365807657691
Shandong,2025,mid,0.14851873048844771
Shanxi,2025,mid,0.02617409439451504
Sichuan,2025,mid,0.029904477452532587
Tibet,2025,mid,7.369355664396246e-05
Xinjiang,2025,mid,0.15105770689890147
Yunnan,2025,mid,0.13000894102295668
Zhejiang,2025,mid,0.012138659322133587
Anhui,2030,high,0.035566332669337175
Chongqing,2030,high,0.008275320846262845
Fujian,2030,high,0.013760669265681843
Gansu,2030,high,0.06609700329401513
Guangdong,2030,high,0.009029367903463259
Guangxi,2030,high,0.067924538021122
Guizhou,2030,high,0.02582816047264208
Hebei,2030,high,0.0011406674906852816
Heilongjiang,2030,high,0.003324660808631305
Henan,2030,high,0.06557876745707099
Hubei,2030,high,0.01602829395819255
Hunan,2030,high,0.027197784039153714
InnerMongolia,2030,high,0.11138368498274107
Jiangsu,2030,high,0.012899685126758412
Jiangxi,2030,high,0.03541415183258813
Jilin,2030,high,0.00182616409464387
Liaoning,2030,high,0.012418465285832465
Ningxia,2030,high,0.020012402416583187
Qinghai,2030,high,0.041009179589713604
Shaanxi,2030,high,0.027326657186629515
Shandong,2030,high,0.11604506525925483
Shanxi,2030,high,0.020451120758466564
Sichuan,2030,high,0.02336585443539721
Tibet,2030,high,5.7580438250516844e-05
Xinjiang,2030,high,0.11802889371155723
Yunnan,2030,high,0.10158244684477108
Zhejiang,2030,high,0.009484537799132496
Anhui,2035,high,0.036146994601166285
Chongqing,2035,high,0.00841042512686919
Fujian,2035,high,0.013985328267591279
Gansu,2035,high,0.06717611409179233
Guangdong,2035,high,0.009176782883207316
Guangxi,2035,high,0.06903348545836925
Guizhou,2035,high,0.026249835366566873
Hebei,2035,high,0.0011592902200758494
Heilongjiang,2035,high,0.003378939780426469
Henan,2035,high,0.06664941744937182
Hubei,2035,high,0.016289974582400193
Hunan,2035,high,0.027641819637888955
InnerMongolia,2035,high,0.11320215376605992
Jiangsu,2035,high,0.013110287556739856
Jiangxi,2035,high,0.03599232923446933
Jilin,2035,high,0.0018559783569376896
Liaoning,2035,high,0.012621211239717134
Ningxia,2035,high,0.02033912826587979
Qinghai,2035,high,0.0416787023562208
Shaanxi,2035,high,0.027772796790055652
Shandong,2035,high,0.11793963652132838
Shanxi,2035,high,0.020785009197234937
Sichuan,2035,high,0.023747329306631055
Tibet,2035,high,5.852050617433e-05
Xinjiang,2035,high,0.11995585329075757
Yunnan,2035,high,0.1032408989650164
Zhejiang,2035,high,0.009639383959183697
Anhui,2040,high,0.03331999131406764
Chongqing,2040,high,0.007752658146739973
Fujian,2040,high,0.012891556311724207
Gansu,2040,high,0.06192236900323432
Guangdong,2040,high,0.008459080190021848
Guangxi,2040,high,0.06363447808683
Guizhou,2040,high,0.024196874347653052
Hebei,2040,high,0.0010686238369085476
Heilongjiang,2040,high,0.0031146778695381495
Henan,2040,high,0.06143686453061535
Hubei,2040,high,0.015015959627648942
Hunan,2040,high,0.02547999357627833
InnerMongolia,2040,high,0.10434877980414908
Jiangsu,2040,high,0.012084951247963686
Jiangxi,2040,high,0.03317742209823681
Jilin,2040,high,0.001710825019191666
Liaoning,2040,high,0.0116341248704206
Ningxia,2040,high,0.01874843495655255
Qinghai,2040,high,0.03841907234097078
Shaanxi,2040,high,0.025600727197999537
Shandong,2040,high,0.10871575100044868
Shanxi,2040,high,0.019159444196014536
Sichuan,2040,high,0.02189008560627944
Tibet,2040,high,5.3943703451368094e-05
Xinjiang,2040,high,0.1105742824215503
Yunnan,2040,high,0.09516658009127792
Zhejiang,2040,high,0.008885501916184223
Anhui,2045,high,0.03015227772010086
Chongqing,2045,high,0.007015617120248556
Fujian,2045,high,0.011665963009759694
Gansu,2045,high,0.056035442796883314
Guangdong,2045,high,0.007654880001077797
Guangxi,2045,high,0.05758478259379643
Guizhou,2045,high,0.021896490560631903
Hebei,2045,high,0.0009670303453885493
Heilongjiang,2045,high,0.0028185671252355868
Henan,2045,high,0.055596094972486444
Hubei,2045,high,0.013588400448818138
Hunan,2045,high,0.0230576243365935
InnerMongolia,2045,high,0.09442839761725778
Jiangsu,2045,high,0.010936041454147564
Jiangxi,2045,high,0.030023262482685317
Jilin,2045,high,0.001548177807819079
Liaoning,2045,high,0.01052807489704084
Ningxia,2045,high,0.016966031362335546
Qinghai,2045,high,0.034766591865362
Shaanxi,2045,high,0.02316687987804841
Shandong,2045,high,0.09838020321844694
Shanxi,2045,high,0.017337966175192267
Sichuan,2045,high,0.019809006980102486
Tibet,2045,high,4.881530467355487e-05
Xinjiang,2045,high,0.10006204506025229
Yunnan,2045,high,0.08611914467615542
Zhejiang,2045,high,0.008040762043841245
Anhui,2050,high,0.0274688263997554
Chongqing,2050,high,0.006391250788818181
Fujian,2050,high,0.010627731532448394
Gansu,2050,high,0.051048476825181724
Guangdong,2050,high,0.0069736214229809135
Guangxi,2050,high,0.05245993059032356
Guizhou,2050,high,0.019947776534736318
Hebei,2050,high,0.0008809678965999094
Heilongjiang,2050,high,0.0025677241294292173
Henan,2050,high,0.05064822947970764
Hubei,2050,high,0.01237907850424559
Hunan,2050,high,0.021005573309323563
InnerMongolia,2050,high,0.08602458777521681
Jiangsu,2050,high,0.009962770540689461
Jiangxi,2050,high,0.02735129308461456
Jilin,2050,high,0.0014103951891696065
Liaoning,2050,high,0.009591111635246313
Ningxia,2050,high,0.015456111624831567
Qinghai,2050,high,0.031672482103205515
Shaanxi,2050,high,0.021105105474995927
Shandong,2050,high,0.08962469596711903
Shanxi,2050,high,0.015794945490094615
Sichuan,2050,high,0.01804607197303826
Tibet,2050,high,4.4470906714790035e-05
Xinjiang,2050,high,0.09115685954073849
Yunnan,2050,high,0.07845483040333377
Zhejiang,2050,high,0.007325161261591045
Anhui,2055,high,0.022924073885735384
Chongqing,2055,high,0.005333810158938469
Fujian,2055,high,0.008869359736817012
Gansu,2055,high,0.042602440943932604
Guangdong,2055,high,0.005819826825691581
Guangxi,2055,high,0.04378036787563068
Guizhou,2055,high,0.01664739135496906
Hebei,2055,high,0.0007352106296320343
Heilongjiang,2055,high,0.0021428908830901164
Henan,2055,high,0.04226841503446386
Hubei,2055,high,0.010330944108743268
Hunan,2055,high,0.017530174298216555
InnerMongolia,2055,high,0.07179170953465124
Jiangsu,2055,high,0.00831441739292607
Jiangxi,2055,high,0.022825986608138844
Jilin,2055,high,0.0011770434984764292
Liaoning,2055,high,0.008004249929464793
Ningxia,2055,high,0.01289887815800414
Qinghai,2055,high,0.02643222936837885
Shaanxi,2055,high,0.017613238739582746
Shandong,2055,high,0.07479617521464631
Shanxi,2055,high,0.013181651526230334
Sichuan,2055,high,0.015060326248991526
Tibet,2055,high,3.7113138233840616e-05
Xinjiang,2055,high,0.0760748403623862
Yunnan,2055,high,0.06547437821642345
Zhejiang,2055,high,0.006113203947698874
Anhui,2060,high,0.01856811087935721
Chongqing,2060,high,0.004320295726417055
Fujian,2060,high,0.00718403089446515
Gansu,2060,high,0.034507254300486304
Guangdong,2060,high,0.004713960979917345
Guangxi,2060,high,0.035461355128487936
Guizhou,2060,high,0.01348410453010552
Hebei,2060,high,0.0005955081351916395
Heilongjiang,2060,high,0.001735705255440663
Henan,2060,high,0.03423669898145755
Hubei,2060,high,0.008367889436046176
Hunan,2060,high,0.014199143735367573
InnerMongolia,2060,high,0.05815006658513252
Jiangsu,2060,high,0.006734537011991265
Jiangxi,2060,high,0.01848866184881643
Jilin,2060,high,0.0009533852620819081
Liaoning,2060,high,0.006483306629406359
Ningxia,2060,high,0.010447872444093571
Qinghai,2060,high,0.02140965729507882
Shaanxi,2060,high,0.014266424523464273
Shandong,2060,high,0.06058363280715058
Shanxi,2060,high,0.01067691407435199
Sichuan,2060,high,0.012198608723058469
Tibet,2060,high,3.0061012245980972e-05
Xinjiang,2060,high,0.061619329880853425
Yunnan,2060,high,0.05303313540775221
Zhejiang,2060,high,0.004951591470817473
Anhui,2025,high,0.0455190969506434
Chongqing,2025,high,0.010591059117643317
Fujian,2025,high,0.01761140920076717
Gansu,2025,high,0.08459336893289374
Guangdong,2025,high,0.011556116196233946
Guangxi,2025,high,0.08693231490174713
Guizhou,2025,high,0.033055827024430766
Hebei,2025,high,0.0014598680887252158
Heilongjiang,2025,high,0.004255022835305252
Henan,2025,high,0.08393011170239789
Hubei,2025,high,0.02051359844770792
Hunan,2025,high,0.03480872149599594
InnerMongolia,2025,high,0.14255292505376552
Jiangsu,2025,high,0.016509490123054395
Jiangxi,2025,high,0.04532433033451764
Jilin,2025,high,0.00233719178315911
Liaoning,2025,high,0.01589360732182968
Ningxia,2025,high,0.02561260657051367
Qinghai,2025,high,0.05248505205654391
Shaanxi,2025,high,0.03497365807657691
Shandong,2025,high,0.14851873048844771
Shanxi,2025,high,0.02617409439451504
Sichuan,2025,high,0.029904477452532587
Tibet,2025,high,7.369355664396246e-05
Xinjiang,2025,high,0.15105770689890147
Yunnan,2025,high,0.13000894102295668
Zhejiang,2025,high,0.012138659322133587
